Min0,Min1,Min2,Min3,Min4,Max0,Max1,Max2,Max3,Max4,Mean0,Mean1,Mean2,Mean3,Mean4,Std0,Std1,Std2,Std3,Std4,NPeaks0,NPeaks1,NPeaks2,NPeaks3,NPeaks4,NPlateau00,NPlateau01,NPlateau02,NPlateau03,NPlateau04,NPlateau10,NPlateau11,NPlateau12,NPlateau13,NPlateau14,NPlateau20,NPlateau21,NPlateau22,NPlateau23,NPlateau24,NPlateau30,NPlateau31,NPlateau32,NPlateau33,NPlateau34,NPlateau40,NPlateau41,NPlateau42,NPlateau43,NPlateau44,Response
20.0,24.0,18.0,21.0,21.0,22.0,25.0,20.0,22.0,22.0,21.1,24.5,18.9,21.3,21.3,0.4,0.5,0.3,0.4,0.4,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,6.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,10.0,2.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,quiet
21.0,24.0,18.0,20.0,20.0,22.0,25.0,19.0,22.0,22.0,21.1,24.5,18.9,21.3,21.3,0.3,0.5,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,1.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,quiet
20.0,24.0,18.0,20.0,20.0,22.0,25.0,20.0,22.0,22.0,21.2,24.6,19.0,21.3,21.3,0.4,0.5,0.3,0.5,0.5,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,5.0,3.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,8.0,1.0,3.0,0.0,0.0,8.0,1.0,3.0,0.0,0.0,quiet
21.0,24.0,18.0,21.0,21.0,22.0,25.0,19.0,22.0,22.0,21.1,24.5,18.9,21.2,21.2,0.3,0.5,0.3,0.4,0.4,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,6.0,2.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,quiet
21.0,24.0,18.0,21.0,21.0,22.0,25.0,19.0,22.0,22.0,21.1,24.6,19.0,21.3,21.3,0.3,0.5,0.2,0.4,0.4,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,1.0,1.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,quiet
21.0,24.0,18.0,21.0,21.0,22.0,25.0,20.0,22.0,22.0,21.2,24.7,18.9,21.3,21.3,0.4,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,3.0,2.0,0.0,2.0,0.0,3.0,6.0,2.0,1.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,quiet
21.0,24.0,18.0,21.0,21.0,22.0,25.0,20.0,22.0,22.0,21.2,24.6,19.0,21.3,21.3,0.4,0.5,0.3,0.5,0.5,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,1.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,quiet
21.0,24.0,18.0,21.0,21.0,22.0,25.0,20.0,22.0,22.0,21.3,24.6,18.9,21.4,21.4,0.4,0.5,0.4,0.5,0.5,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,7.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,6.0,3.0,3.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0,quiet
21.0,24.0,18.0,21.0,21.0,22.0,25.0,20.0,22.0,22.0,21.2,24.5,18.9,21.3,21.3,0.4,0.5,0.3,0.4,0.4,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,5.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,11.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,quiet
20.0,24.0,18.0,21.0,21.0,22.0,25.0,19.0,22.0,22.0,21.1,24.7,18.9,21.4,21.4,0.4,0.5,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,9.0,2.0,1.0,0.0,0.0,9.0,2.0,1.0,0.0,0.0,quiet
21.0,24.0,18.0,21.0,21.0,22.0,25.0,19.0,22.0,22.0,21.1,24.6,18.9,21.1,21.1,0.3,0.5,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,quiet
21.0,24.0,18.0,21.0,21.0,22.0,25.0,19.0,22.0,22.0,21.2,24.4,18.9,21.3,21.3,0.4,0.5,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,1.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,quiet
20.0,24.0,18.0,21.0,21.0,22.0,25.0,19.0,22.0,22.0,21.1,24.6,18.9,21.3,21.3,0.4,0.5,0.3,0.4,0.4,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,8.0,0.0,2.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,quiet
21.0,24.0,18.0,21.0,21.0,22.0,25.0,20.0,22.0,22.0,21.1,24.6,19.0,21.3,21.3,0.3,0.5,0.3,0.5,0.5,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,7.0,2.0,2.0,0.0,0.0,7.0,2.0,2.0,0.0,0.0,quiet
21.0,24.0,18.0,21.0,21.0,22.0,25.0,20.0,22.0,22.0,21.2,24.6,19.0,21.3,21.3,0.4,0.5,0.3,0.5,0.5,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,6.0,5.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,quiet
21.0,24.0,18.0,21.0,21.0,22.0,25.0,19.0,22.0,22.0,21.2,24.6,18.9,21.2,21.2,0.4,0.5,0.3,0.4,0.4,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,quiet
20.0,24.0,18.0,21.0,21.0,22.0,25.0,19.0,22.0,22.0,21.1,24.6,19.0,21.3,21.3,0.4,0.5,0.2,0.4,0.4,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,1.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,quiet
20.0,24.0,18.0,20.0,20.0,22.0,25.0,20.0,22.0,22.0,21.1,24.5,18.9,21.2,21.2,0.4,0.5,0.3,0.5,0.5,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,3.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0,0.0,1.0,1.0,0.0,8.0,0.0,1.0,1.0,0.0,quiet
21.0,24.0,18.0,21.0,21.0,22.0,25.0,20.0,22.0,22.0,21.2,24.7,18.9,21.3,21.3,0.4,0.5,0.3,0.4,0.4,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,7.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,quiet
21.0,24.0,18.0,21.0,21.0,22.0,25.0,19.0,22.0,22.0,21.2,24.6,18.9,21.3,21.3,0.4,0.5,0.3,0.5,0.5,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,5.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,10.0,1.0,0.0,1.0,0.0,10.0,1.0,0.0,1.0,0.0,quiet
20.0,24.0,18.0,21.0,21.0,22.0,25.0,20.0,22.0,22.0,21.2,24.6,18.9,21.2,21.2,0.4,0.5,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,3.0,8.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,quiet
21.0,24.0,18.0,21.0,21.0,22.0,25.0,19.0,22.0,22.0,21.1,24.5,18.9,21.3,21.3,0.3,0.5,0.3,0.4,0.4,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,quiet
21.0,24.0,18.0,21.0,21.0,22.0,25.0,20.0,22.0,22.0,21.1,24.6,19.0,21.3,21.3,0.3,0.5,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,10.0,3.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,quiet
21.0,24.0,18.0,21.0,21.0,22.0,25.0,20.0,22.0,22.0,21.3,24.6,19.0,21.3,21.3,0.4,0.5,0.3,0.5,0.5,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,5.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,1.0,0.0,1.0,0.0,10.0,1.0,0.0,1.0,0.0,quiet
20.0,24.0,18.0,21.0,21.0,22.0,25.0,20.0,22.0,22.0,21.1,24.6,18.9,21.2,21.2,0.4,0.5,0.3,0.4,0.4,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,5.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,3.0,9.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,quiet
21.0,24.0,19.0,21.0,21.0,22.0,25.0,19.0,22.0,22.0,21.1,24.6,19.0,21.3,21.3,0.3,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,quiet
20.0,24.0,18.0,21.0,21.0,22.0,25.0,19.0,22.0,22.0,21.1,24.7,18.9,21.4,21.4,0.4,0.4,0.3,0.5,0.5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,7.0,2.0,3.0,0.0,0.0,7.0,2.0,3.0,0.0,0.0,quiet
21.0,24.0,18.0,21.0,21.0,22.0,25.0,20.0,22.0,22.0,21.1,24.6,18.9,21.3,21.3,0.3,0.5,0.3,0.4,0.4,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,6.0,2.0,0.0,1.0,0.0,6.0,2.0,0.0,1.0,0.0,quiet
20.0,24.0,18.0,21.0,21.0,22.0,25.0,19.0,22.0,22.0,21.1,24.6,18.8,21.3,21.3,0.4,0.5,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,4.0,7.0,1.0,1.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,quiet
20.0,24.0,18.0,21.0,21.0,22.0,25.0,20.0,22.0,22.0,21.2,24.5,19.0,21.3,21.3,0.4,0.5,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,6.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,quiet
21.0,24.0,18.0,21.0,21.0,22.0,25.0,20.0,22.0,22.0,21.3,24.6,18.9,21.2,21.2,0.4,0.5,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,9.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,quiet
21.0,24.0,18.0,21.0,21.0,22.0,25.0,19.0,22.0,22.0,21.1,24.6,18.9,21.3,21.3,0.3,0.5,0.3,0.4,0.4,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,10.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,6.0,4.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,quiet
21.0,23.0,18.0,21.0,21.0,22.0,25.0,20.0,22.0,22.0,21.1,24.5,18.9,21.3,21.3,0.2,0.5,0.3,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,10.0,2.0,1.0,0.0,0.0,10.0,2.0,1.0,0.0,0.0,quiet
21.0,24.0,18.0,21.0,17.0,22.0,25.0,20.0,22.0,18.0,21.6,24.8,19.0,21.5,17.0,0.5,0.4,0.3,0.5,0.2,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,9.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,caress
20.0,24.0,18.0,21.0,17.0,22.0,25.0,20.0,22.0,18.0,21.4,24.8,19.0,21.5,17.1,0.5,0.4,0.2,0.5,0.3,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,5.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,caress
21.0,24.0,18.0,21.0,16.0,22.0,26.0,19.0,22.0,18.0,21.1,25.0,18.9,21.5,17.0,0.3,0.4,0.3,0.5,0.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,10.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,caress
20.0,25.0,18.0,21.0,17.0,22.0,26.0,19.0,22.0,18.0,21.0,25.2,18.9,21.5,17.1,0.2,0.4,0.3,0.5,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,5.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,caress
20.0,24.0,18.0,21.0,17.0,22.0,26.0,20.0,22.0,18.0,21.0,24.9,19.1,21.4,17.3,0.3,0.3,0.3,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,8.0,2.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,caress
20.0,24.0,19.0,20.0,17.0,22.0,25.0,21.0,22.0,18.0,21.0,24.8,19.3,21.3,17.2,0.2,0.4,0.5,0.5,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,3.0,4.0,2.0,0.0,0.0,1.0,5.0,2.0,0.0,1.0,1.0,6.0,1.0,0.0,1.0,0.0,caress
21.0,24.0,19.0,21.0,17.0,22.0,25.0,20.0,22.0,18.0,21.1,24.8,19.2,21.4,17.2,0.3,0.4,0.4,0.5,0.4,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,caress
20.0,24.0,18.0,21.0,17.0,22.0,25.0,20.0,22.0,18.0,21.1,24.9,19.1,21.6,17.2,0.4,0.3,0.4,0.5,0.4,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,6.0,2.0,0.0,0.0,1.0,7.0,3.0,0.0,2.0,1.0,12.0,0.0,0.0,0.0,0.0,caress
20.0,24.0,18.0,21.0,17.0,22.0,25.0,19.0,22.0,18.0,21.1,24.9,18.9,21.9,17.1,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,caress
21.0,24.0,18.0,21.0,17.0,22.0,25.0,20.0,22.0,18.0,21.1,24.8,19.0,21.9,17.2,0.3,0.4,0.4,0.3,0.4,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,caress
21.0,24.0,18.0,20.0,17.0,22.0,26.0,20.0,22.0,18.0,21.0,24.9,19.0,21.5,17.4,0.1,0.4,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,1.0,caress
20.0,24.0,18.0,21.0,17.0,21.0,26.0,20.0,22.0,19.0,21.0,24.9,19.0,21.5,17.7,0.2,0.4,0.3,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,2.0,10.0,1.0,2.0,0.0,1.0,4.0,2.0,0.0,1.0,2.0,caress
21.0,24.0,18.0,21.0,17.0,22.0,26.0,20.0,22.0,19.0,21.1,24.9,19.1,21.4,17.9,0.2,0.4,0.3,0.5,0.4,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,5.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,caress
21.0,24.0,19.0,21.0,17.0,23.0,25.0,20.0,22.0,18.0,21.8,24.9,19.2,21.7,17.4,0.4,0.3,0.4,0.4,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,8.0,2.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,3.0,9.0,1.0,1.0,1.0,0.0,caress
21.0,24.0,18.0,21.0,17.0,22.0,25.0,20.0,22.0,18.0,21.7,24.9,19.1,21.7,17.3,0.4,0.3,0.4,0.4,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,2.0,4.0,1.0,1.0,2.0,3.0,5.0,5.0,0.0,0.0,0.0,caress
21.0,25.0,19.0,21.0,17.0,22.0,26.0,20.0,22.0,18.0,21.3,25.1,19.1,21.7,17.2,0.4,0.3,0.3,0.5,0.4,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,3.0,0.0,10.0,1.0,0.0,0.0,0.0,caress
20.0,24.0,19.0,21.0,17.0,22.0,26.0,20.0,22.0,18.0,21.0,25.0,19.1,21.7,17.2,0.3,0.4,0.3,0.4,0.4,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,caress
21.0,24.0,19.0,21.0,17.0,22.0,25.0,20.0,23.0,18.0,21.0,24.9,19.3,21.9,17.4,0.1,0.3,0.5,0.4,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,3.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,7.0,1.0,2.0,1.0,0.0,caress
20.0,24.0,19.0,21.0,17.0,22.0,25.0,20.0,22.0,18.0,21.0,24.8,19.4,21.8,17.5,0.2,0.4,0.5,0.4,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,7.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,6.0,1.0,3.0,2.0,0.0,caress
21.0,24.0,19.0,21.0,17.0,22.0,26.0,20.0,23.0,19.0,21.0,25.0,19.1,21.8,17.5,0.2,0.3,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,5.0,2.0,0.0,1.0,1.0,caress
20.0,24.0,18.0,21.0,17.0,22.0,26.0,20.0,23.0,18.0,21.0,25.0,19.0,22.0,17.8,0.2,0.3,0.3,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,caress
20.0,24.0,19.0,21.0,17.0,21.0,26.0,20.0,23.0,18.0,21.0,25.0,19.0,21.9,17.7,0.1,0.3,0.1,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,caress
